JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
L,1996-11-08,KENDAL,Singorojo,Rumah Tinggal,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-12-02,SEMARANG,Bancak,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1998-03-12,KENDAL,Singorojo,Asrama,Jalan kaki,Lainnya,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-03-04,Kendal,Kaliwungu Selatan,Bersama orang tua,Sepeda motor,SD / sederajat,Pedagang Kecil,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Pedagang Kecil,"Rp. 500,000 - Rp. 999,999",Lulus
P,1996-10-02,SEMARANG,Tuntang,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-10-23,KENDAL,Kaliwungu,Asrama,Jalan kaki,SD / sederajat,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2006-10-19,SEMARANG,Kandangan,Bersama orang tua,Sepeda motor,SMA / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Mengundurkan diri
P,2004-09-19,semarang,Sumowono,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,1999-10-17,TEMANGGUNG,Kedu,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1997-05-04,KENDAL,Singorojo,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-05-21,KENDAL,Boja,Asrama,Jalan kaki,SMA / sederajat,Petani,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1999-06-02,KENDAL,Kaliwungu Selatan,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2006-10-11,Kupang,Lasiana,Bersama orang tua,Jalan kaki,D2,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mengundurkan diri
P,2003-08-11,SEMARANG,Ungaran Barat,Asrama,Jalan kaki,S1,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2000-12-07,Kendal,Boja,Asrama,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 500,000 - Rp. 999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2002-06-29,SEMARANG,Bancak,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2000-02-05,KENDAL,Ngaliyan,Asrama,Jalan kaki,Putus SD,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-07-26,KENDAL,Boja,Bersama orang tua,Sepeda motor,Tidak sekolah,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-10-29,Semarang,Ngaliyan,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2004-04-18,Semarang,Ngaliyan,Bersama orang tua,Angkutan umum/bus/pete-pete,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2002-05-25,Semarang,Ngaliyan,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2001-11-02,KENDAL,Semarang Utara,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2001-06-04,SEMARANG,Bergas,Pesantren,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,1998-10-16,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Buruh,"Kurang dari Rp. 500,000",SD / sederajat,Pedagang Kecil,"Rp. 500,000 - Rp. 999,999",Lulus
L,2001-07-06,Semarang,Tembalang,Rumah Tinggal,Jalan kaki,Tidak sekolah,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2002-06-18,Semarang,Ungaran Barat,Bersama orang tua,Mobil/bus antar jemput,S1,Pensiunan,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2004-03-18,Semarang,Tuntang,Bersama orang tua,Angkutan umum/bus/pete-pete,SMA / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,1999-03-17,SEMARANG,Semarang Timur,Asrama,Jalan kaki,SMP / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2007-06-21,Cilacap,Karangpakis,Bersama orang tua,Sepeda,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mutasi
P,2006-05-29,SEMARANG,Mijen,Bersama orang tua,Sepeda motor,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,1996-12-15,SEMARANG,Mijen,Bersama orang tua,Jalan kaki,Tidak sekolah,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-09-30,SEMARANG ,Gunung Pati,Bersama orang tua,Lainnya,SMP / sederajat,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2000-01-01,KENDAL,Limbangan,Asrama,Jalan kaki,SMP / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2000-10-05,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 2,000,000 - Rp. 4,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-06-22,SEMARANG,Bandungan,Bersama orang tua,Angkutan umum/bus/pete-pete,SMA / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
L,1998-12-31,KENDAL,Limbangan,Asrama,Jalan kaki,Tidak sekolah,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2006-05-13,Semarang,Bongsari,Pesantren,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mengundurkan diri
P,2005-04-12,Semarang,Jangli,Bersama orang tua,Jalan kaki,SMP / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Mutasi
P,2000-05-20,SEMARANG,Bancak,Rumah Tinggal,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2004-09-06,SEMARANG,Sendangmulyo,Bersama orang tua,Sepeda motor,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",S1,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2007-11-16,Semarang ,Purwosari,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Dikeluarkan
P,2002-07-16,SEMARANG,Gajah Mungkur,Pesantren,Jalan kaki,SMA / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",S1,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Mengundurkan diri
L,1998-10-06,SEMARANG,Ngaliyan,Asrama,Jalan kaki,Lainnya,Sudah Meninggal,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
P,2002-06-25,Semarang,Bawen,Pesantren,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Kurang dari Rp. 500,000",Lulus
P,2006-07-01,KENDAL,Kertosari,Bersama orang tua,Sepeda motor,SMA / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2004-01-21,SEMARANG,Gunung Pati,Asrama,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2004-08-26,SEMARANG,Bandungan,Bersama orang tua,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-01-08,KENDAL,Singorojo,Pesantren,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Kurang dari Rp. 500,000",Lulus
L,1996-06-14,SEMARANG,Ngaliyan,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2008-02-16,Pemalang,Randudongkal,Bersama orang tua,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mutasi
P,2003-01-19,KENDAL,Cepiring,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Tidak bekerja,"Kurang dari Rp. 500,000",Lulus
P,2004-04-04,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
P,1997-07-20,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-12-18,KENDAL,Bekasi Timur,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2000-04-07,KENDAL,Singorojo,Asrama,Jalan kaki,SMA / sederajat,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-01-12,LAHAT,Lahat,Pesantren,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,"Kurang dari Rp. 500,000",Mutasi
L,1999-08-05,SEMARANG,Ngaliyan,Asrama,Jalan kaki,Tidak sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-09-06,SEMARANG,Gunung Pati,Asrama,Jalan kaki,SMP / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2003-10-11,Grobogan,Tugu,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-12-08,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2000-08-08,KENDAL,Plantungan,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 2,000,000 - Rp. 4,999,999",S1,Tidak bekerja,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
P,1998-01-13,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2001-07-13,KENDAL,Singorojo,Pesantren,Jalan kaki,SD / sederajat,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2000-07-25,SEMARANG,Bandungan,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
P,2005-04-07,Wonosobo,Tieng,Bersama orang tua,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2001-06-01,KENDAL,Patean,Pesantren,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2002-09-12,SEMARANG,Kaliwungu,Pesantren,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-05-07,SEMARANG,Bergas,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,1999-09-18,KENDAL,Cepiring,Asrama,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2001-10-07,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2001-09-21,SEMARANG,Sumowono,Pesantren,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-08-04,SEMARANG,Wates,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
P,1996-06-30,KENDAL,Singorojo,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-02-18,DEMAK,Semarang Barat,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2005-03-25,Jakarta,Kebon Jeruk,Bersama orang tua,Angkutan umum/bus/pete-pete,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,1996-12-27,KENDAL,Bulik Timur,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2003-10-24,BOYOLALI,Boyolali,Bersama orang tua,Sepeda motor,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Mutasi
L,2006-10-17,Semarang,Lerep,Bersama orang tua,Sepeda motor,SMA / sederajat,Wirausaha,"Rp. 500,000 - Rp. 999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mutasi
L,2000-09-20,SEMARANG,Ngaliyan,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-02-06,Bukit Makmur,Sungai Bahar,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2004-02-07,KENDAL,Boja,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2002-04-21,MAMBULAU,Gunung Pati,Pesantren,Jalan kaki,Tidak sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,1999-01-25,TEGAL,Balapulang,Asrama,Jalan kaki,SMP / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2005-08-29,Semarang,Podorejo,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Lulus
P,2000-05-11,BOYOLALI,Karanggede,Asrama,Jalan kaki,Tidak sekolah,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-02-24,KENDAL,Kaliwungu,Pesantren,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2007-03-13,SUKAMANDANG,Seruyan Tengah,Asrama,Jalan kaki,SD / sederajat,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2005-03-20,WONOSOBO,Ngadikusuman,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2002-07-11,KENDAL,Boja,Asrama,Jalan kaki,SMP / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SMA / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
L,2002-04-12,SEMARANG,Ngaliyan,Pesantren,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-04-12,SEMARANG,Ngaliyan,Pesantren,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya
L,1999-06-02,SEMARANG,Pedurungan,Asrama,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-08-11,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-02-19,SUKOHARJO,Ungaran Timur,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2002-07-05,KENDAL,Boja,Pesantren,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1996-12-14,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-07-02,SEMARANG,Bergas,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1997-09-25,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-11-10,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-01-28,SEMARANG,Bergas,Asrama,Jalan kaki,SMA / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mutasi
L,2004-07-19,Semarang,Gunung Pati,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,2004-03-03,SEMARANG,Ungaran Timur,Asrama,Jalan kaki,SMA / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
P,2005-01-18,SEMARANG,Getas,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
P,2008-07-11,SEMARANG,Mangkang Kulon,Pesantren,Jalan kaki,SD / sederajat,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mengundurkan diri
L,2006-01-21,SEMARANG,Mijen,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1998-06-20,SEMARANG,Singorojo,Asrama,Jalan kaki,Putus SD,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Petani,"Kurang dari Rp. 500,000",Lulus
P,2004-08-28,SEMARANG,Ungaran Timur,Bersama orang tua,Angkutan umum/bus/pete-pete,D3,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2005-05-18,GROBOGAN,Kawengen,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2005-11-02,Semarang,Kedungpani,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
P,1998-01-31,SEMARANG,Ungaran Barat,Asrama,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2002-08-05,Lubuk Mandarsah,Tengah Ilir,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-05-28,Pati,Gunung Pati,Bersama orang tua,Sepeda motor,SMP / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-03-05,SEMARANG,Beji,Bersama orang tua,Angkutan umum/bus/pete-pete,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2003-08-10,Semarang,Ngaliyan,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2008-02-26,SEMARANG,Bergas,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Dikeluarkan
P,1997-01-06,SEMARANG,Boja,Rumah Tinggal,Jalan kaki,SD / sederajat,Sudah Meninggal,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
