JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
L,2000-05-24,JEPARA,Bangsri,Asrama,Jalan kaki,SD / sederajat,Wirausaha,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-12-06,SEMARANG,Ngaliyan,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2000-06-24,Kendal,Limbangan,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,1998-07-23,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-12-08,SEMARANG,Mijen,Pesantren,Jalan kaki,Tidak sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2002-04-01,KENDAL,Patebon,Pesantren,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Kurang dari Rp. 500,000",Lulus
L,2005-09-06,Semarang,Pedurungan Tengah,Bersama orang tua,Sepeda motor,SMA / sederajat,Wirausaha,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,1999-10-15,SEMARANG,Mijen,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-09-02,KENDAL,Boja,Pesantren,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,1997-03-27,SEMARANG,Mijen,Bersama orang tua,Sepeda motor,Tidak sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-08-25,SEMARANG,Ungaran Barat,Asrama,Jalan kaki,SD / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-04-07,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2008-07-22,Kendal,Singorojo,Bersama orang tua,Jalan kaki,SMP / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Mutasi
P,2003-04-08,KENDAL,Singorojo,Pesantren,Jalan kaki,Putus SD,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2005-04-21,Semarang,Gisikdrono,Bersama orang tua,Angkutan umum/bus/pete-pete,SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA / sederajat,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-03-22,Semarang,Gunung Pati,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-03-22,Semarang,Gunung Pati,Rumah Tinggal,Jalan kaki,SD / sederajat,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya
P,2002-01-17,SEMARANG,Pedurungan,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2003-06-26,Semarang,Tembalang,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2006-05-04,Semarang,Gunung Pati,Bersama orang tua,Angkutan umum/bus/pete-pete,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2001-11-01,Semarang,Bandungan,Rumah Tinggal,Jalan kaki,SD / sederajat,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2003-11-13,KOTABARU,Kelumpang Tengah,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2000-12-07,KENDAL,Kaliwungu Selatan,Asrama,Jalan kaki,SMA / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1998-04-20,KENDAL,Kaliwungu Selatan,Asrama,Jalan kaki,SMP / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1999-08-19,KENDAL,Patebon,Asrama,Jalan kaki,SD / sederajat,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-04-12,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-05-17,SRAGEN,Sambeng,Asrama,Jalan kaki,SMP / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-10-22,SEMARANG,Ngaliyan,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2005-05-10,KENDAL,Singorojo,Pesantren,Jalan kaki,SMP / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
L,2005-10-25,BATANG,Sengon,Asrama,Jalan kaki,SD / sederajat,Pedagang Besar,"Rp. 2,000,000 - Rp. 4,999,999",SD / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mutasi
L,2003-05-25,SEMARANG,Tembalang,Bersama orang tua,Angkutan umum/bus/pete-pete,S1,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2006-02-17,BATANG,Pandansari,Pesantren,Jalan kaki,SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Mutasi
